bID,CURRENT_ENERGY_EFFICIENCY,hotwater_roof_windows-Cost,hotwater_roof_windows-Eff,hotwater_roof_windows-Diff,hotwater_roof_windows-Score,windows-Cost,windows-Eff,windows-Diff,windows-Score,envelopes-Cost,envelopes-Eff,envelopes-Diff,envelopes-Score,hotwater_windows-Cost,hotwater_windows-Eff,hotwater_windows-Diff,hotwater_windows-Score,envelopes_windows-Cost,envelopes_windows-Eff,envelopes_windows-Diff,envelopes_windows-Score,envelopes_roof_windows-Cost,envelopes_roof_windows-Eff,envelopes_roof_windows-Diff,envelopes_roof_windows-Score,envelopes_hotwater_roof-Cost,envelopes_hotwater_roof-Eff,envelopes_hotwater_roof-Diff,envelopes_hotwater_roof-Score,roof-Cost,roof-Eff,roof-Diff,roof-Score,envelopes_roof-Cost,envelopes_roof-Eff,envelopes_roof-Diff,envelopes_roof-Score,hotwater-Cost,hotwater-Eff,hotwater-Diff,hotwater-Score,hotwater_roof-Cost,hotwater_roof-Eff,hotwater_roof-Diff,hotwater_roof-Score,envelopes_hotwater-Cost,envelopes_hotwater-Eff,envelopes_hotwater-Diff,envelopes_hotwater-Score,envelopes_hotwater_windows-Cost,envelopes_hotwater_windows-Eff,envelopes_hotwater_windows-Diff,envelopes_hotwater_windows-Score,envelopes_hotwater_roof_windows-Cost,envelopes_hotwater_roof_windows-Eff,envelopes_hotwater_roof_windows-Diff,envelopes_hotwater_roof_windows-Score,roof_windows-Cost,roof_windows-Eff,roof_windows-Diff,roof_windows-Score,as_built-Cost,as_built-Eff,as_built-Diff,as_built-Score
5865,56,10524,60,4,2631,-1,-1,-1,-1,2100,61,5,420,6024,58,2,3012,5324,61,5,1064,9824,64,8,1228,9400,67,11,854,4500,57,1,4500,6600,64,8,825,2800,58,2,1400,7300,60,4,1825,4900,64,8,612,8124,64,8,1015,12624,67,11,1147,7724,57,1,7724,0,0,0,0
11628,64,9966,73,9,1107,-1,-1,-1,-1,2700,65,1,2700,6816,67,3,2272,6716,65,1,6716,9866,70,6,1644,8650,72,8,1081,3150,69,5,630,5850,69,5,1170,2800,67,3,933,5950,72,8,743,5500,67,3,1833,9516,68,4,2379,12666,73,9,1407,7166,70,6,1194,0,0,0,0
1240,61,18856,68,7,2693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17556,65,4,4389,12775,65,4,3193,8475,64,3,2825,9975,64,3,3325,-1,-1,-1,-1,11275,66,5,2255,-1,-1,-1,-1,-1,-1,-1,-1,20356,67,6,3392,16056,66,5,3211,0,0,0,0
42232,58,9053,61,3,3017,-1,-1,-1,-1,1500,59,1,1500,6420,60,2,3210,5120,59,1,5120,7753,64,6,1292,6932,66,8,866,-1,-1,-1,-1,4132,64,6,688,2800,60,2,1400,5432,61,3,1810,4300,61,3,1433,7920,61,3,2640,10553,66,8,1319,-1,-1,-1,-1,0,0,0,0
18324,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18908,70,2,9454,-1,-1,-1,-1,12000,69,1,12000,14100,70,2,7050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16808,69,1,16808,0,0,0,0
41065,67,9420,72,5,1884,-1,-1,-1,-1,-1,-1,-1,-1,6420,68,1,6420,-1,-1,-1,-1,9320,70,3,3106,8500,72,5,1700,3000,69,2,1500,5700,70,3,1900,2800,68,1,2800,5800,72,5,1160,-1,-1,-1,-1,-1,-1,-1,-1,12120,72,5,2424,6620,69,2,3310,0,0,0,0
39869,65,12371,68,3,4123,-1,-1,-1,-1,1500,73,8,187,7608,68,3,2536,6308,73,8,788,11071,75,10,1107,9062,78,13,697,4762,66,1,4762,6262,75,10,626,2800,68,3,933,7562,69,4,1890,4300,77,12,358,9108,76,11,828,13871,77,12,1155,9571,66,1,9571,0,0,0,0
17905,54,21172,61,7,3024,5997,59,5,1199,2100,65,11,190,8797,61,7,1256,8097,67,13,622,20472,71,17,1204,17275,72,18,959,12375,58,4,3093,14475,69,15,965,2800,61,7,400,15175,61,7,2167,4900,68,14,350,10897,69,15,726,23272,73,19,1224,18372,59,5,3674,0,0,0,0
667,66,9495,68,2,4747,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9395,68,2,4697,8575,70,4,2143,-1,-1,-1,-1,5775,67,1,5775,-1,-1,-1,-1,5875,68,2,2937,5500,67,1,5500,9120,67,1,9120,12195,70,4,3048,-1,-1,-1,-1,0,0,0,0
20287,54,9420,61,7,1345,-1,-1,-1,-1,2700,59,5,540,6420,60,6,1070,6320,61,7,902,9320,64,10,932,8500,71,17,500,-1,-1,-1,-1,5700,62,8,712,2800,61,7,400,5800,62,8,725,5500,68,14,392,9120,69,15,608,12120,72,18,673,-1,-1,-1,-1,0,0,0,0
